Remy moved to a new city. They made more friends.;Why did Remy do this?;travel to the new city;pack their things;wanted to influence people
Tracy loves camping and being outside in nature, they don't like being cooped up in the city.;What kind of place would Tracy be happy living?;The country;In a big town with many people;In a large city
Austin took them out for dinner on that cold evening in Chicago.;What will Austin want to do next?;go home;swim in the ocean;loves them
Skylar played some soccer with their friend after school that day and had fun.;What will happen to Others?;be tired from playing soccer;join the game;go to a bakery
Cameron and Casey were soulmates, because Cameron gave Casey a sense of belonging.;What will Cameron want to do next?;move in with Casey;show friendship;physically abuse Casey
Tracy crossed the rubicon because they wanted to cross it and be the best.;What does Tracy need to do before this?;keep working even if they fail;need to be the best;need to be the worst
Bailey saved the money so that she could retire earlier than average.;Why did Bailey do this?;keep adding money to the pot;own frivolous things;spend responsibly
Quinn crossed Lee's arms and posed him for the picture.;Why did Quinn do this?;did this to prepare;begrudgingly take the photo;did this to be funny
Cameron made a deal with the prosecutor for a lighter sentence if he informed on his fellow burglars.;How would the other burglars feel as a result?;would be mad;an informant;happy
Aubrey felt a lump in her breast and was so concerned that they confided in their closest friends who then came over and spent the night listening to and trying to reassure Aubrey.;How would Others feel as a result?;worried about Aubrey;energised;excited for Aubrey
Aubrey and her friends stayed up all night having a slumber party, the house is now a wreck.;What will Aubrey do when they leave?;Clean the bedroom;Go to sleep;Clean the living room
Riley went out with some good friends to celebrate Riley's upcoming promotion at work.;What will Riley want to do next?;order a round;call in sick;buy a round of drinks for Riley
Aubrey asked Sydney to estimate the cost of the damage to her car.;Why did Sydney do this?;do her job as a car repair estimator;know the car's location;help Jason
Robin took into account the mitigating factors when considering the situation.;How would you describe Ash?;As someone who puts thought into things;pleased to have all the information;confident in their final decision
Bailey was in a recital and was performing for a group. Bailey started to play.;What will Bailey want to do next?;show off their skills;practice for the recital;learn the music to play
Alex grasped both of their breasts firmly and then took off running out of the dining hall laughing.;How should the girls do afterwards?;The girls should warn other girls about him after turning him him;"Be brave, and defend your king with your lives," said their mother;The girls should find him and tar and feather him with very hot tar
Robin let Carson explain to their parents what had happened at school.;What does Robin need to do before this?;think Carson should explain;think Carson shouldn't explain;be open
Riley and the others were the best of friends and always supported each other.;What will happen to Others?;The others will offer support;The others will be dejected;The others will be isolated
Quinn murdered Remy's wife while Remy was away on a business trip.;How would Quinn feel afterwards?;guilty;like a good person;sad
Jesse went camping with Addison's friends and told scary stories.;Why did Jesse do this?;have fun;scare their friends with more stories;listen to scary stories be told back to them
Skylar got their friends together and they all went on a camping trip.;Why did Skylar do this?;go on vacation with friends;see their friends;go on a camping trip
Sydney had a Christmas party and invited all the people she knew who did not have family to celebrate with.;How would you describe Sydney?;a kind-hearted person;a humble person;Joyful
Cameron made out of the store like a bandit with the items that they lifted.;How would you describe Cameron?;Guilty;A person who was shopping around;A person who was concealing things
Cameron is very strong but loyal to friends.;How would you describe Cameron?;proud;concerned;excited
Sydney's mother brought them to the doctor's office for a shot. When it came time to get the shot, Sydney dug in their heels and refused.;How would you describe Sydney?;stubborn;frightened;clever
Carson gave their friend some milk when they were thirsty.;How would Carson feel afterwards?;helpful;generous;rude
Austin wanted to celebrate his parent's 30 year wedding anniversary.;What does Austin need to do before this?;Contact family friends to have a party;confirm the number of attendees at the dinner;forget to show up at the restaurant
Sasha went with Austin to a dance that the school was having.;What will Sasha want to do next?;be picked up by Austin;buy a cheap guitar;move out of state
Riley was the best of friends with the others and didn't mind helping out.;What will Others want to do next?;The others will thank Riley next;See if their friends still need help;The others will be resentful next
Cameron's boss was in a bad mood and tried to shove Cameron but Cameron got out of their way.;How would Cameron feel afterwards?;scared;they are a patient person;they are a pacifist
Cameron moved Kendall's body because they didn't want anyone to see.;What will Cameron want to do next?;escape;admit to their crime;they were being discreet
taylor just got hired but he was already best friends with a co-worker.;How would Others feel as a result?;jealous;happy;ready to work
Bailey agreed to a date with their boss then had second thoughts and decided not to show up.;How would you describe Bailey?;a worrier;free spirited;anxious and guilty
carson was bored so he went to a friend's house and played video games.;What will Others want to do next?;ask carson questions;great;kick carson out the house
Quinn afforded every car after winning a lot of money on the Power ball ticket.;What does Quinn need to do before this?;get the winnings;Have lots of cars;avoid paying taxes on the winnings
Kai swung through the bars gracefully and quickly while other children watched in awe.;How would you describe Kai?;good at gymnastics;loves to show off for others;loves to be alone
Cameron got out of their way when they were walking by.;How would Others feel as a result?;quite respected;fearful and paranoid;very lonely
Jan came over one night and searched the house because she was scared a robber could their.;Why did Jan do this?;was afraid of criminals;be safe;secure
Robin took it at face value after being misled before about the same subject.;Why did Robin do this?;did this to be practical;did this to be hurtful;believe
Robin was paralyzed and was unable to respond on their own.;What will Carson want to do next?;raise Robin's hand;abandon Robin;find an alternative
Casey never received attention from boys so she went to go get a new haircut.;What will Casey want to do next?;get a date;stay in her house;ignore everyone
Carson angrily turned Sydney's music down without their permission in protest of the noise.;What will Sydney want to do next?;ask Carson why;have some quiet;buy a new stereo
Tracy gave birth to Addison in the hospital last week.;What does Tracy need to do before this?;Get pregnant;proud;Eat unhealthily
Austin loved Sydney's neighbor that they asked their parents to move near them.;What will Sydney want to do next?;look up housing prices in the area;be friends with Sydney;ask their parents to move near Sydney's neighbor
Aubery and Carson were dating and Cameron was angry about it.;How would Cameron feel afterwards?;Hateful;happy for talking;like a mean person
Addison ate their bread and drank a nice glass of water with the bread.;What will Addison want to do next?;full;cook the food;bored
Carson was in the movie. Carson played a soldier in the war.;What will the director want to do next?;win an Academy Award;make sure Carson seems like a soldier;a massive flop
Kai was babysitting her younger brother Kai when it began to storm.  Kai kept Taylor calm by making popcorn and putting his favorite movie on television.;What does Kai need to do before this?;plug in the popcorn popper;get a good night's sleep;watch the movie
Sasha was playing baseball for so long and got tired.;How would you describe Sasha?;exhausted from the game;fit;weary from the game
Tracy didn't go home that evening and resisted Riley's attacks.;What does Tracy need to do before this?;Find somewhere to go;make a new plan;Go home and see Riley
Lee gave his friend a special gift of a rare and collectible acoustical guitar.;Why did Lee do this?;thought the friend deserved a gift;buy an acoustical guitar from someone;find someone with an acoustical guitar
Riley layered down their arms with a blanket to keep warm.;What does Riley need to do before this?;get a blanket from the closet;turn on the air conditioner;open all the windows
Ash threw up their arms because their friend treated them disrespectfully while hanging out together.;How would Ash feel afterwards?;as if she had been disrespected;happy with her friend;mad at Ash's friend
Robin left the food so that the cats would have something to eat.;Why did Robin do this?;feed his cats some dinner;see if anyone wanted the food;save food for his dogs
Kendall won the competition easily because of her performance that day.;How would Others feel as a result?;quite jealous;elated;like winners
Seeing that she was very nice and friendly, Jan made friends with Taylor.;What will Jan want to do next?;spend time with Taylor;ignore Taylor's calls;go and greet Taylor nicely
Taylor gave help to a friend when she was moving houses.;How would you describe Taylor?;like a good friend;caring;like they did a good deed
Alex was wondering how to send the document to Bailey. Bailey told Alex to send the pdf.;How would Bailey feel afterwards?;complete;indecision;confusion
Robin went to the big party with Jan's friends after being invited.;What will Robin want to do next?;Mingle with others at the party;Get away from Jan's friends;wanted to have a good time
Jordan brought the family for a day out at the beach but when they got there Jordan realised that they had left the food at home for the picnic.;How would you describe Jordan?;Forgetful;annoyed;frustrated
Jan was best friends with their teacher for years until the teacher passed away unexpectedly and suddenly.;What will Jan want to do next?;go to the funeral;forget about it;It brings up our own mortality
Riley was tring to scare Tracy, but Tracy resisted Riley's attack.;What will happen to Tracy?;pay him back;go away;love the joke
Carson ate the candy Bailey gave them and it was really good.;What does Carson need to do before this?;of unwrapped the candy;give more;of asked Bailey about Candy
Cameron had a pain in their mouth that was not going away, they called the dentist.;How would you describe Cameron?;Nervous about the pain;Uncaring about their health;Excited to see what happened
Alex went to the beach and took a long walk on the short pier.;Why did Alex do this?;go on a walk;take a flying leap;look before he leaps
Riley was working out in the garage. Riley began to hurt so bad when lifting.;What does Riley need to do before this?;needed to skip stretching;needed to pick up the ball;If you answered yes to any one of the above questions, it may be the time to consider creating your very own personal gym at home
Cameron got a new video game and wanted to spend the night playing it.;How would Cameron feel afterwards?;a gamer;tired;addicted to video games
Robin let Carson take the lead on the project and take most of the credit.;How would you describe Robin?;not comfortable being the center of attention;interested in promoting their career;always trying to get ahead
Kendall drank everyday until their friends mentioned it was becoming a problem.;What will Kendall want to do next?;go to a meeting;drink a lot of alcohol;go to a bar
Quinn stole a phone from Casey and then showed it off to Casey's friends.;What will happen to Quinn?;they will get arrested;they will be thanked;they will be rewarded
Addison threw a pie on the character to make the play more humorous.;Why did Addison do this?;have the play categorized as a comedy;make the audience cry;pick up a pie
Jan was pregnant and she gave birth to a beautiful baby daughter.;How would you describe Jan?;a mother;exhausted;ready to take a spin class
Addison was going to be working late. To help out, Jesse offered to walk Addison's dog.;What will Jesse want to do next?;take the dog to the park;be a friend to Addison;help out for Addison
Cameron knew what he wanted to do this weekend since he loved being outside so much.;How would you describe Cameron?;a man who likes to camp;a man who likes to nap;happy
Cameron was talking to Skylar and looked at him as he talked to them.;Why did Cameron do this?;talk to them;hate them;be disrespectful
To celebrate their twenty first birthday, Sasha spent a weekend with family at the beach.;What does Sasha need to do before this?;pack their suitcase and buy a new swimsuit;have fun;pack their purse and buy a new jacket
Skylar stubbed his toe and cursed right afterwards. Cameron turned to look at him and make sure he was okay.;Why did Cameron turn to look at Skylar?;stubbed his toe;was yelling at the TV;watch skylar
Cameron got out of their way when he saw the others running towards him.;How would Others feel as a result?;accommodated as a result;he tries to avoid conflict;annoyed as a result
But she didn't want to be on the team so walked off the court.;Why did Aubrey do this?;wanted to spend more time at home;wanted to win the championship;Being on the team was her big dream
Jan visisted home for Christmas after finding out that their grandfather had died.;What does Jan need to do before this?;needed to book a plane ticket;needed to tell her family she wasn't coming home;remember Jan's grandfather during Christmas
Remy got very dark after drinking by himself all night long.;How would you describe Remy?;depressed at heart;a resilient person at heart;a happy person at heart
kai grabbed carson's tools and stole them to get back at carson.;What will Carson want to do next?;call the police;find the tools;ignore kai
Robin bought Addison a watch for his birthday and after he unwrapped it, Robin helped put the watch on Addison's wrist.;Why did Robin do this?;help Addison put the watch on;make sure Addison knew what time it was;smile
Skylar went to the dentist who set an appointment to get his tooth filled.;How would Skylar feel afterwards?;nervous;Someone who wants good dental hygiene;cant wait to visit
Jan used Robin's approach on how to make money at the company.;What will Robin want to do next?;rich;passive;lazy
Alex carried Robin into the execution when Robin refused to walk.;What will happen to Robin?;be executed;be given a pardon;live a long life
Taylor proved Carson's point last night when they spoke about the issue.;Why did Taylor do this?;be argumentative;Feel proud;lose the argument
Robin took the test quickly because they wanted to pass quickly with flying colors.;What will Robin want to do next?;do well on the test;pass;fail
Kendall watched baseball every week to cheer for their favorite team.;How would you describe Kendall?;Loyal to others;Indifferent to watch;excited
Lee challenged her to a fight after she talked bad about Lee to his friends.;How would Others feel as a result?;angry;happy that Lee wants a fight;fight
Robin got gas at the gas station and payed for what they bought.;How would you describe Robin?;Someone that has fuel;worried;Someone that asked about fuel
After accidentally spilling water on his jeans, Jesse went too far when he yelled at his brother.;How would Jesse feel afterwards?;was remorseful and apologized to his brother;has a short fuse;felt guiltless for having yelled at his brother
Addison needed to find someone he could trust when he found God.;How would this look to others?;has become a Christian;relieved to have a friend to confide in;stupid
Kendall snatched her journal away from her little sister.;What will Kendall want to do next?;hide the journal;snatch it back;show remorse
carson took his son to the eye doctor instead of going to the birthday party for their other child.;What will happen to Others?;make the child with the birthday party upset;be happy;be annoyed
Jordan wanted to try something new to pass the time  so he went to a baseball card shop.;Why did Jordan do this?;find a new hobby;look at the baseball cards;sell his baseball cards
Jesse was upset but unfortunately went a little too far when he yelled at his brother.;How would you describe Jesse?;remorseful;Happy;upset
After they picked a hiking trail to take together, Sydney met Skylar near the canyon edge.;What does Sydney need to do before this?;pack for the hike;greet each other;walk along the rim
Lee decided to pick up Taylor's friend and give them a ride.;What's going to happen to Lee?;be gratified for giving Taylor's friend a ride;want to argue with Taylor for helping thei friend;be highly upset for helping about Taylor's friend
Casey called Aubrey's parents to check how are they doing.;How would you describe Casey?;someone lovely;someone who love to party;glad to know how they are
Remy had a big presentation he had to get done, so Remy was working late tonight.;What will Remy want to do next?;drink coffee;work on his novel;Purchase she red bull
Bailey passed Jesse on his driving examination after he passed with flying colors.;What does Bailey need to do before this?;test Jesse before this;buy a car;celebrate
Jesse used Kendall's phone even after Kendall said they did not have permission to.;How would Kendall feel as a result?;annoyed;like a thief;defiant
Kai knew that things were getting out of control and managed to keep his temper in check.;How would Others feel as a result?;relieved;anxious;scared
Tracy understood Casey's stance better after they had a long conversation together.;What does Tracy need to do before this?;ask Casey to talk;listen to Tom;understand
Remy was prepared for the test and they took it and got a very good grade on it.;What will Remy want to do next?;take another test;go to a movie;shout out loud
Sasha heard a rumor and acted on it and saved their company from destruction.;Why did Sasha do this?;get a raise;be unemployed;lose their job
Bailey had a wonderful trip, she couldn't wait to show everyone all the photos.;What does Bailey need to do before this?;take a vacation;share her photos with others;get her photos developed
Austin predicted that the virus would be found in patients in the hospital where he worked.;What will Austin want to do next?;test the patients;let all the patients go home;spread the virus
Addison wanted breakfast in the morning so they ate cereal.;What does Addison need to do before this?;pour the cereal in the bowl;wanted something quick;think about pouring cereal in the bowl
Carson is a dedicated man of his trade that likes building things with his hand. His son, Kai, often assists with tools in the workshop.;Why did Kai do this?;Continue learning first hand from his mentor;work on the next craft;get extra incentives from his dad
Remy gave Skylar's Netflix account password to one of Remy's other friends.;How would Skylar feel as a result?;used;like a bad friend;excited
Alex stole money from the children to pay for his drugs.;What will happen to Alex?;he will have to pay back what he stole;ale who has take a drugs;he will go to jail for giving them money
Skylar distributed the data in several forms without double checking the figures.;What does Skylar need to do before this?;rush things;gather the data;hand out the forms
Jesse closely considered the signs when lightning struck her house three times.;How would Jesse feel afterwards?;superstitious;happy;glad
Cameron had hired Bailey to help with an important job and felt satisfied with Bailey's work.;What will Bailey want to do next?;Apply for more jobs;Apply for unemployment;walk through and inspect the work
Taylor gave help to a friend who was having trouble keeping up with their bills.;What will their friend want to do next?;thank Taylor for the generosity;help the friend find a higher paying job;pay some of their late employees
Lee got Jordan to start walking to school instead of riding the bus.;What will Lee want to do next?;get other friends to walk, too;ride the school bus;drive himself to school
Austin interfered with Sydney by blocking her way to the teachers desk.;What will happen to Austin?;receive negative feedback;be well liked;stand still
Aubrey was used to their hometown,but now they lived in Carson's environment.;What will Aubrey want to do next?;Try to meet people;Display anger at Carson;good
Robin had a very sweet tooth and loved to eat sweet things.;What does Robin need to do before this?;went to the shop;bought nothing;went to bed
Since Kai was feeling confused while trying to present problems in front of the class, Kai makes things up as they go along.;How would Kai feel afterwards?;somewhat insecure and confused;somewhat jealous and angry;disoriented
Taylor was trying to talk to her brother but the music was too loud. Taylor got louder as they raised their voice over the music.;How would Taylor feel afterwards?;annoyed;happy;quiet
Quinn got two jobs and finally moved to a new house.;How would you describe Quinn?;hardworker;someone who likes to buy new clothes;Very excited
Kai told Kendall the reason so mad last night.;How would Kai feel afterwards?;sorry;happening;knowledgeable
After being kicked out of the house by his parents, Jordan needed a place to live.;How would you describe Jordan?;sad;quite lazy;extremely hardworking
Riley wanted to ask their friends advice about what to do for a job.;What will Others want to do next?;listen carefully;wanted to do something important;wanted to find an enjoyable job
Bailey went away for a few weeks with family on a vacation and had a wonderful time on their trip.;What will Bailey want to do next?;tell her friends about the nice trip;confirm time off work for the vacation;schedule a vacation with family
Jordan affected children's happiness by always yelling at them and telling them no.;How would you describe Jordan?;authoritative;mad;regretful
Carson was visiting.;What will Carson want to do next?;play a game;Leave his friends;speak with Carson about what he has been doing
Casey's mother called Casey to tell her that she sent her a package by mail.;What does Casey need to do before this?;have the package delivered by the post office;check their mailbox;open the package
Casey saved some money and eventually bought a new car.;What does Casey need to do before this?;save before this;purchase a new car;enroll in college before this
When Riley noticed Jesse, he stared at him with suspicious eyes.;What will Jesse want to do next?;avoid Riley;saw Jesse wearing Riely's brand new sweater;thinks that Jesse stole their sex partner
Taylor attended their father's birthday party so that their father would feel that they were loved.;Why did Taylor do this?;be kind;know about the party;know about their birthday
Tracy took Sydney to school after Sydney missed the school bus this morning.;How would you describe Tracy?;a friend to Sydney;such a good friend;grateful that they got to school conveniently
Aubrey never told Riley the truth about what happened last night.;What will Riley want to do next?;figure out the truth;have a serious conversation;sit Riley down
After she graduated, Jordan would teach English in schools.;What does Jordan need to do before this?;get an internship at the school to get more work experience;forge her college transcripts to get a job interview;start teaching sooner
Robin's plane just landed so Cameron picked them up from the airport.;How would Cameron feel afterwards?;helpful;friendly;like a taxi
Sasha got revenge on the people who had stolen the car from her.;How would Others feel as a result?;quite paid back;quite elated;furious at the perpetrators
Sasha had a long weekend coming up and was celebrating a birthday.;What will Sasha want to do next?;come home early and clean the house;go sightseeing;stay in the hotel and read
taylor made a video game for her family but she based it on their experience.;What will Taylor want to do next?;have them test out the video game;they wanted it to be personal;change her mind about making the video game
Jesse showed off her brand new car to Sydney's friends to make the jealous.;How would you describe Jesse?;conceited;upset;generous
Alex paid attention to the details when he took his school exam.;What does Alex need to do before this?;read his school books;did this to get a good grade;go on a vacation
Carson smoked their pipe but only outside in the yard.;Why did Carson do this?;make sure the house did not smell;stay at home;be comfortable
Remy, their partner Joe and family were out for dinner when Joe suddenly asked Remy to marry them.  Remy smiled and answered the question happily saying yes of course.;What will Others want to do next?;hug them;continue her relationship with Joe through marriage;criticize them
Lee gave Taylor's friend a handshake and sneezed on their hand.;What will happen to Lee after the sneeze?;be grossed out;get criticized;be embarrassed for their friend
Skylar worked night shift and had just finished and driven home so when they got there they lay down pulled the shade over their eyes.;What will Skylar want to do next?;sleep;wake up;get active
Austin offered Sydney a position as sales manager, but at lower pay than other workers.;How would Sydney feel as a result?;a bit insulted;terribly afraid;like the best employee
quinn was bored of wearing pants so she wore jeans to school the next day.;How would Quinn feel afterwards?;calm;The first pair of jeans were designed;often baffling
The beat was so funky and so fresh that Austin moved their body to the music.;Why did Austin do this?;let themselves go;dance more;invite others to dance
Quinn said a word to Casey that made him feel a lot better.;What will Quinn want to do next?;continue talking to Casey;learn about Casey's predicament;fight Casey
Because he was very good at throwing galas, and his best friend asked him, Lee planned a wedding.;What does Lee need to do before this?;arrange for flowers;buy a wedding ring;make hotel reservations
Bailey had been feeling angry for a quite a while, one day she had enough and expressed her anger to the others.;What will Others want to do next?;leave Bailey alone;release pressure;Apologize to Bailey
After much discussion it was decided that Tracy had done the most research. Quinn held a meeting using Tracy's forms.;Why did Quinn do this?;use the best information;flatter Tracy;study Tracy's research
Aubrey kept her friends up all night talking about her problems at work with others.;What will happen to Aubrey?;be sleepy;nothing will  happen;be invited over again
Quinn murders Remy's wife on that cold winters night in December.;What will happen to Remy?;seek revenge;he will go to jail;he will be punished
Alex answered Riley's question about the math problem for homework that night.;What will happen to Riley?;proud;lazy;passive
Bailey was Jesse's driving instructor.;What will Bailey want to do next?;tell Jesse to turn left;take her driver's license test;practice driving
Carson was already under the house working on the air conditioning and realized he forgot his tools. He asked Kai to grab them for him.;What will Kai want to do next?;bring Carson his tools;finish fixing the air conditioning;drive to the house they are working at
Kai gave Sydney a push on the playground swing.;How would Sydney feel as a result?;thankful for Kai;love towards Kai;they are swinging
kendall went along with jan's friends but didn't invite jan along because they didn't like jan.;How would Jan feel as a result?;angry at kendall;appreciative to not be included;happy with kendall
Aubrey was making extra money by babysitting Tracey's kids for the summer.;What will Tracy want to do next?;let Aubrey know that they are appreciated;save up for a vacation;pay off her college tuition
Riley had fallen off his bike making a turn. Riley began to hurt and held his arm.;How would Riley feel afterwards?;pain;accident prone;good
Sydney went trick or treating and the others joined him happily.;What will Others want to do next?;get candy;go home;did this to get candy
Cameron drove nearly three hours so that he could pick Robin up from the nearest airport.;What will Cameron want to do next?;Stop in the airport to use the restroom;Turn around and make the drive back again;Leave and drive back the next day instead
Kai and his friend crowded around Sydney to shield her from onlookers after split her pants.;How would you describe Kai?;sympathetic towards Sydney because of her embarrassment;Nosey and cruel;A good friend
Tracy took Jesse's students on a field trip and covered the expenses for everyone.;How would you describe Tracy?;very generous;giving;selfish
Carson wanted to celebrate his dad's 50th birthday with him. Carson visited their dad with a gift.;Why did Carson do this?;surprise his dad;give carson's dad a gift;celebrate carson's dad's birthday
Remy started to dance because he had been drinking.;How would Remy feel afterwards?;Fun loving;humiliated;Embarassed
Austin had a rough day at work and decided to go to the bar. Austin had a drink that night.;Why did Austin do this?;settle down;go to the bar;order a drink
Austin built a mall on the site where the ruins were found.;What does Austin need to do before this?;remove the artifacts;bring a local attraction;find a new site
Carson was not exhibiting proper behavior in the military. Austin went ahead and discharged Carson of his duty.;How would Austin feel afterwards?;sad;good;proud
Remy knew that Ash didn't have any camping experience so they set up Ash's tent.;What will Ash want to do next?;pay Remy back;yell at Remy;ash who has know about camping
Skylar was able to ease their mind after receiving a good grade on the test.;How would you describe Skylar?;at peace;proud of Skylar;nervous
Jan had been on vacation in Hawaii for a week. Last night, she finally returned home.;What will Jan want to do next?;Return to work;return to her family;Leave for another vacation
Cameron wore some very heavy clothes even thought it was hot outside and he would sweat heavily outside.;How would Others feel as a result?;awkward;thinks differently;hungry
Aubrey took tennis lessons as a method to get in shape.;What does Aubrey need to do before this?;get  tennis clothes;stay healthy;go to the game
Sydney was going to work on Aubrey's roof, so Sydney provided an estimate to Aubrey.;What does Sydney need to do before this?;get their tools;get a leaf blower;pay that much
Casey went on Jesse's way and then told them that they love them very much.;What does Casey need to do before this?;Tell them the truth;need to do nothing;jessey who has told love casey
Jordan made it their career by getting that new promotion.;What will Jordan want to do next?;received new company perks;left his job shortly after;seem ungrateful for the promotion
Jordan mentioned Casey in chapter one, because he is planning on bending the knee with a ring in hand very soon.;What will Jordan want to do next?;propose to Casey for marriage;go to a theme park with Casey;buy the ring
Cameron turned and looked at skylar in a way that was suggestive and not polite.;How would Skylar feel as a result?;like leaving;a predator;happy about the look
Kai was good at cake decorating and made a career out of it.;How would Kai feel afterwards?;successful at business;good at their hobbies;proud for being an actor
During the speech, Remy gave Casey's interpretation of the situation to the guests.;What does Remy need to do before this?;take detailed notes of Casey's words;send Casey a box of chocolates;call Casey to come to the podium
austin just got a new computer so the first thing he did was make an email.;How would Others feel as a result?;content;uptight;nervous
Skylar took a gander at the dogs as he was looking at them in the store.;Why did Skylar do this?;get a new dog;get a cat;take a nap
Tom gave Sydney a red scarf. Sydney set it on fire.;How would you describe Sydney?;hot tempered;angry at Tom;bad that she had destroyed it
Riley talked to their friends at the party and had a good time.;How would Riley feel as a result?;connected to friends;social;one with friends
Kai crowded around Sydney to help conserve heat.;How would Sydney feel as a result?;felt warm;protected as a result;felt comforted
Kai wanted to do something fun for the weekend. Kai went camping with friends.;How would Others feel as a result?;happy;nervous;terrified
Aubrey met no one at the park despite scheduling a meeting there with their informant.;What will the informant want to do next?;schedule a new meeting;tell Aubrey they won't be making it;cancel the meeting
Robin wanted to go out for the night so she went with Jan and her friends.;How would Jan feel as a result?;Good she got out and did something;Like she had a night out;very social
Addison took long walks on the beach to lose weight.;How would Addison feel afterwards?;dedicated to the goal;Well exercised;Lazy
Sasha helped her friend Liza who was in a bad situation. Liza refused to help herself and went back to the bad situation.;How would Sasha after Liza refuses help?;Hurt and frustrated;caring;kind
Riley was in pain.;How would Riley feel afterwards?;Painful;aware;Great
Addison had taken Casey's money without her permission. Addison knew she may get in trouble for this.;What will Addison want to do next?;give the money back to Casey;burn the money so no one can find it;spend the money before she gets caught
Skylar was always assigned to watch the students are recess but today he and the students had recess in the gym.;Why did Skylar do this?;provide indoor activities for the students;Read her assignments;allow the students to play outside
Skylar joined Sasha's ranks as one of the only employees to never miss a day of work in 5 years.;What will Sasha want to do next?;try to continue not missing work;congratulate Skylar for failing;do themselves proud
Due to her old fashion views, many people think Riley's ideas have gone the way of the dodo.;What will Riley want to do next?;Ignore the critics;right;express her views
Skylar entered the classroom at school and made fun of everyone for being there on time.;What will Others want to do next?;avoid skylar;tell skylar to keep it up;try to dodge a late detention
Even though the biological father was in jail, Sasha kept the baby.;Why did Sasha do this?;Raise the child well;go to jail;have a child
Aubrey went to the park for a walk and met a stranger there.;What will Aubrey want to do next?;get to know them;go home with them;put on athletic shoes and shorts
Robin's boyfriend got on one knee to propose. Robin held their breath.;How would Robin feel afterwards?;excited that they are getting engaged;anxious;disappointed in the boyfriend's actions
Remy understood every mystery because she was a famous mystery writer.;What will Others want to do after?;ask Remy more;destroy Remy's books;be a mystery writer
While they were at the park for an afternoon of games, Quinn threw the frisbee to his friend.;What does Quinn need to do before this?;have a friend;play frisbee;be at home
riley was happy to socialize with others so she talked to her friends.;How would Others feel as a result?;a sociable person;as calm;as angry
Robin took a very long time to clean the windows of her house.;How would you describe Robin?;a neat freak;exhausted;tired
Jordan took their mother to the shoe store that she did not like going to.;What will happen to the mother?;scold Jordan;argue with his mother;go to a different store
Riley watched Jesse with observant eyes.;What will happen to Jesse?;creeped out;be confronted by Jesse;be sneered at by Jesse
Carson gave their friend some milk but their friend was allergic to milk and wanted orange juice instead and Carson agreed to help.;What will Carson want to do next?;Get a different drink;get the milk out of the fridge;ask his friend if he would like a drink
Alex wanted to learn how to play the guitar on his own and set the plans into motion.;What will Alex want to do next?;sign up for classes;rent a guitar;find a tutor
tracy held a baby for 9 months and then gave birth to addison.;What will happen to Tracy?;take care of her baby;throw her baby at the wall;cry
Quinn got into a fight with a friend bringing up the past and rubbed salt in the wound.;How would Quinn's friend feel as a result?;upset;forgiving;unsure
