data_source,split,survey_type,item_id,worker_id,prolific_id,age,ethnicity,gender,race,item_story,item_question,item_answers,understandability,coherent_q_a,unambiguous,average_rating
false_belief,0,ours,false_belief_01,8,19e42f08-f061-404d-b926-63dbad2c163c,45,non_hispanic,female,white,"Takumi is a gardener in a Japanese Zen garden, meticulously maintaining the grounds. Takumi wants to rake the gravel paths into perfect patterns before the garden opens to visitors. Takumi notices that the gravel paths are smooth and unruffled. Takumi believes the gravel paths are smooth and ready for raking. An unexpected gust of wind sweeps through the garden, displacing the gravel and creating disarray on the paths. Takumi does not see the gust of wind displacing the gravel on the paths.",Does Takumi believe the gravel paths are smooth and unruffled or disarrayed by the wind?,"['Takumi believes the gravel paths are disarrayed by the wind.', 'Takumi believes the gravel paths are smooth and unruffled. (Correct Answer)']",4,4,4,4.0
false_belief,0,ours,false_belief_02,8,19e42f08-f061-404d-b926-63dbad2c163c,45,non_hispanic,female,white,"Amara is a beekeeper in a small Kenyan village. She wants to collect honey from her beehives to sell at the local market. The honeycombs in the beehives appear full and ready for harvest. Amara believes the honeycombs are full and ready for harvest. A sudden thunderstorm floods the area around her beehives, washing away some of the honeycombs and diluting the remaining honey. Amara does not observe the damage to her beehives after the flood.",Does Amara believe the honeycombs are full and ready for harvest or washed away and diluted?,"['Amara believes the honeycombs are full and ready for harvest. (Correct Answer)', 'Amara believes the honeycombs are washed away and diluted.']",4,4,4,4.0
false_belief,0,ours,false_belief_03,8,19e42f08-f061-404d-b926-63dbad2c163c,45,non_hispanic,female,white,"Nia is a marine biologist studying coral reefs on a remote island in the South Pacific. Nia wants to collect samples of healthy coral to study their adaptability to changing ocean temperatures. The coral she observes appears to be vibrant and teeming with life. Nia believes that the coral is healthy and thriving. However, a sudden underwater landslide nearby stirs up sediment, which settles on the coral and causes it to become stressed and bleached. Nia does not notice the sediment-covered coral after the underwater landslide.",Does Nia believe the coral is healthy and thriving or stressed and bleached?,"['Nia believes the coral is stressed and bleached.', 'Nia believes the coral is healthy and thriving. (Correct Answer)']",4,4,4,4.0
false_belief,0,ours,false_belief_04,8,19e42f08-f061-404d-b926-63dbad2c163c,45,non_hispanic,female,white,"Amara is a skilled potter in a small Nigerian village. Amara wants to create a beautiful, large clay pot to be used in the village's upcoming festival. The kiln, used for firing pottery, has been heated to the appropriate temperature for the clay. Amara believes the kiln is at the right temperature for firing the large pot. Unbeknownst to her, a sudden gust of wind blows open the kiln door, causing the temperature to drop significantly. Amara does not notice the kiln door has been blown open.",Does Amara believe the kiln is at the right temperature for firing the large pot or that the temperature has dropped significantly?,"['Amara believes the temperature in the kiln has dropped significantly.', 'Amara believes the kiln is at the right temperature for firing the large pot. (Correct Answer)']",4,4,4,4.0
false_belief,0,ours,false_belief_05,8,19e42f08-f061-404d-b926-63dbad2c163c,45,non_hispanic,female,white,"Hiro is a bonsai enthusiast in a small village in Japan. He wants to trim his favorite bonsai tree to maintain its shape and health. Hiro sees that the tree's branches are overgrown and need pruning. He believes the bonsai tree has overgrown branches. A gust of wind blows through Hiro's garden, snapping off several of the overgrown branches from the bonsai tree. Hiro does not see the gust of wind snapping off the branches.",Does Hiro believe the bonsai tree has overgrown branches or that they have been snapped off by the wind?,"['Hiro believes the bonsai tree has overgrown branches. (Correct Answer)', 'Hiro believes the branches have been snapped off by the wind.']",4,4,4,4.0
false_belief,0,ours,false_belief_06,8,19e42f08-f061-404d-b926-63dbad2c163c,45,non_hispanic,female,white,"Emeka is a farmer in a small village in Nigeria. Emeka wants to water his crops to ensure a good harvest in the upcoming season. Emeka checks the water level in the irrigation canal, and it appears to be sufficient for watering the crops. Emeka believes that the water level in the irrigation canal is sufficient. Overnight, a heavy rainfall causes flooding in the area, and the water level in the irrigation canal rises significantly, becoming too high for safe irrigation. Emeka does not notice the flooding or the increased water level in the irrigation canal.",Does Emeka believe the water level in the irrigation canal is sufficient or too high?,"['Emeka believes the water level in the irrigation canal is too high.', 'Emeka believes the water level in the irrigation canal is sufficient. (Correct Answer)']",4,4,4,4.0
false_belief,0,ours,false_belief_07,8,19e42f08-f061-404d-b926-63dbad2c163c,45,non_hispanic,female,white,"Farhan is a street food vendor in a bustling market in Istanbul. Farhan wants to prepare a delicious chicken shawarma wrap for a customer who asked for extra garlic sauce. Farhan takes a bottle of garlic sauce from the shelf and pours it onto the shawarma wrap. Farhan believes that the sauce he has poured is garlic sauce. His assistant, who is busy preparing a different wrap, accidentally swaps the garlic sauce with a bottle of hot sauce, and Farhan unknowingly pours the hot sauce onto the shawarma wrap. Farhan does not notice the sauce swap.",Does Farhan believe the sauce he poured is garlic sauce or hot sauce?,"['Farhan believes the sauce he poured is garlic sauce. (Correct Answer)', 'Farhan believes the sauce he poured is hot sauce.']",4,4,5,4.333333333333333
false_belief,0,ours,false_belief_08,8,19e42f08-f061-404d-b926-63dbad2c163c,45,non_hispanic,female,white,"Surya is a fisherman in a coastal village in India. Surya plans to go fishing early in the morning to catch fish for his family and to sell at the local market. Surya's fishing net looks strong and ready for another day of fishing. Surya believes that his fishing net is strong and ready to be used. Overnight, a group of mischievous monkeys rummage through the fishing equipment and badly damage Surya's fishing net. Surya does not realize the monkeys have damaged his fishing net.","Does Surya believe that his fishing net is strong and ready to be used, or that it has been badly damaged?","['Surya believes his fishing net has been badly damaged.', 'Surya believes his fishing net is strong and ready to be used. (Correct Answer)']",4,4,4,4.0
false_belief,0,ours,false_belief_09,8,19e42f08-f061-404d-b926-63dbad2c163c,45,non_hispanic,female,white,"Mei is a professional photographer exploring the countryside of Japan. She wants to capture the perfect shot of Mount Fuji at sunset. Mei sets up her tripod and camera, pointing it toward the mountain, where the clouds are just starting to clear. Mei believes that the clouds around Mount Fuji are clearing up. Suddenly, a thick fog rolls in, completely obscuring the view of the mountain. Mei does not notice the fog covering Mount Fuji.",Does Mei believe the clouds around Mount Fuji are clearing up or that it's covered by fog?,"['Mei believes the clouds around Mount Fuji are clearing up. (Correct Answer)', 'Mei believes Mount Fuji is covered by fog.']",4,4,4,4.0
false_belief,1,ours,false_belief_10,11,07e86885-fb8f-4e27-9c30-a830116920a0,25,non_hispanic,male,white,"Emeka is a skilled fisherman in a small Nigerian village. He wants to catch fish to feed his family and sell at the market. Emeka prepares his fishing net, which appears to be strong and without any holes. He believes that the fishing net is strong and free of holes. However, while Emeka is not looking, a mischievous child cuts a large hole in the net with a knife. Emeka does not see the child cutting the hole in the fishing net.","Does Emeka believe the fishing net is strong and without holes, or that it has a large hole in it?","['Emeka believes that the fishing net has a large hole in it.', 'Emeka believes the fishing net is strong and without holes. (Correct Answer)']",5,4,3,4.0
false_belief,1,ours,false_belief_10,10,62218e8d-8245-4bd5-8a5d-842e70f91c4e,24,hispanic,male,other,"Emeka is a skilled fisherman in a small Nigerian village. He wants to catch fish to feed his family and sell at the market. Emeka prepares his fishing net, which appears to be strong and without any holes. He believes that the fishing net is strong and free of holes. However, while Emeka is not looking, a mischievous child cuts a large hole in the net with a knife. Emeka does not see the child cutting the hole in the fishing net.","Does Emeka believe the fishing net is strong and without holes, or that it has a large hole in it?","['Emeka believes that the fishing net has a large hole in it.', 'Emeka believes the fishing net is strong and without holes. (Correct Answer)']",4,3,2,3.0
false_belief,1,ours,false_belief_11,11,07e86885-fb8f-4e27-9c30-a830116920a0,25,non_hispanic,male,white,"Mei, a talented pastry chef from a small town in China, is preparing to bake a large cake for a local celebration. Mei wants to use a specific cake mold to create a unique and intricate design. Mei sees the cake mold hanging on the wall, clean and ready for use. She believes the cake mold is in excellent condition and suitable for baking. However, during a brief power outage, a gust of wind blows through the kitchen, knocking the cake mold off the wall and denting it severely. Mei does not notice the dented cake mold on the floor.",Does Mei believe the cake mold is clean and ready for use or severely dented and unsuitable for use?,"['Mei believes the cake mold is clean and ready for use. (Correct Answer)', 'Mei believes the cake mold is severely dented and unsuitable for use.']",4,2,3,3.0
false_belief,1,ours,false_belief_11,10,62218e8d-8245-4bd5-8a5d-842e70f91c4e,24,hispanic,male,other,"Mei, a talented pastry chef from a small town in China, is preparing to bake a large cake for a local celebration. Mei wants to use a specific cake mold to create a unique and intricate design. Mei sees the cake mold hanging on the wall, clean and ready for use. She believes the cake mold is in excellent condition and suitable for baking. However, during a brief power outage, a gust of wind blows through the kitchen, knocking the cake mold off the wall and denting it severely. Mei does not notice the dented cake mold on the floor.",Does Mei believe the cake mold is clean and ready for use or severely dented and unsuitable for use?,"['Mei believes the cake mold is clean and ready for use. (Correct Answer)', 'Mei believes the cake mold is severely dented and unsuitable for use.']",5,4,3,4.0
false_belief,1,ours,false_belief_12,11,07e86885-fb8f-4e27-9c30-a830116920a0,25,non_hispanic,male,white,"Kofi is a fisherman in a small coastal village in Ghana. He wants to set sail on his boat to catch fish for his family and the village market. Kofi checks the weather and sees clear skies and calm waters. He believes the weather is perfect for sailing. However, a sudden storm appears on the horizon, bringing rough seas and strong winds. Kofi does not notice the approaching storm.",Does Kofi believe the weather is perfect for sailing or is there a storm approaching?,"['Kofi believes the weather is perfect for sailing. (Correct Answer)', 'Kofi believes there is a storm approaching.']",5,2,3,3.3333333333333335
false_belief,1,ours,false_belief_12,10,62218e8d-8245-4bd5-8a5d-842e70f91c4e,24,hispanic,male,other,"Kofi is a fisherman in a small coastal village in Ghana. He wants to set sail on his boat to catch fish for his family and the village market. Kofi checks the weather and sees clear skies and calm waters. He believes the weather is perfect for sailing. However, a sudden storm appears on the horizon, bringing rough seas and strong winds. Kofi does not notice the approaching storm.",Does Kofi believe the weather is perfect for sailing or is there a storm approaching?,"['Kofi believes the weather is perfect for sailing. (Correct Answer)', 'Kofi believes there is a storm approaching.']",5,4,3,4.0
false_belief,1,ours,false_belief_13,11,07e86885-fb8f-4e27-9c30-a830116920a0,25,non_hispanic,male,white,"Ravi is a fisherman living in a coastal village in India. Ravi wants to catch a large amount of fish to sell at the market and provide for his family. The waters near the shore are calm and full of fish, making it an ideal location for fishing. Ravi believes the calm waters near the shore are full of fish and perfect for fishing. An underwater earthquake occurs, causing the fish to frantically swim away from the coast. Ravi does not sense the earthquake and remains unaware of the decrease in fish.","Does Ravi believe the waters near the shore are calm and full of fish, or that the fish have frantically swum away?","['Ravi believes the fish have frantically swum away from the coast.', 'Ravi believes the waters near the shore are calm and full of fish. (Correct Answer)']",3,2,3,2.6666666666666665
false_belief,1,ours,false_belief_13,10,62218e8d-8245-4bd5-8a5d-842e70f91c4e,24,hispanic,male,other,"Ravi is a fisherman living in a coastal village in India. Ravi wants to catch a large amount of fish to sell at the market and provide for his family. The waters near the shore are calm and full of fish, making it an ideal location for fishing. Ravi believes the calm waters near the shore are full of fish and perfect for fishing. An underwater earthquake occurs, causing the fish to frantically swim away from the coast. Ravi does not sense the earthquake and remains unaware of the decrease in fish.","Does Ravi believe the waters near the shore are calm and full of fish, or that the fish have frantically swum away?","['Ravi believes the fish have frantically swum away from the coast.', 'Ravi believes the waters near the shore are calm and full of fish. (Correct Answer)']",3,4,5,4.0
false_belief,1,ours,false_belief_14,11,07e86885-fb8f-4e27-9c30-a830116920a0,25,non_hispanic,male,white,"Juan is a gardener in a small village in Mexico, tending to a flower garden near the town plaza. Juan wants to water a specific flower bed to ensure its health and beauty. Juan sees that the garden hose is neatly coiled and ready for use. Juan believes the garden hose is in good condition and functional. Unexpectedly, a group of children playing nearby accidentally puncture the hose with a sharp stick while running around. Juan does not see the children accidentally puncture the hose.",Does Juan believe the garden hose is in good condition and functional or punctured and non-functional?,"['Juan believes the garden hose is in good condition and functional. (Correct Answer)', 'Juan believes the garden hose is punctured and non-functional.']",4,2,3,3.0
false_belief,1,ours,false_belief_14,10,62218e8d-8245-4bd5-8a5d-842e70f91c4e,24,hispanic,male,other,"Juan is a gardener in a small village in Mexico, tending to a flower garden near the town plaza. Juan wants to water a specific flower bed to ensure its health and beauty. Juan sees that the garden hose is neatly coiled and ready for use. Juan believes the garden hose is in good condition and functional. Unexpectedly, a group of children playing nearby accidentally puncture the hose with a sharp stick while running around. Juan does not see the children accidentally puncture the hose.",Does Juan believe the garden hose is in good condition and functional or punctured and non-functional?,"['Juan believes the garden hose is in good condition and functional. (Correct Answer)', 'Juan believes the garden hose is punctured and non-functional.']",3,4,3,3.3333333333333335
false_belief,1,ours,false_belief_15,11,07e86885-fb8f-4e27-9c30-a830116920a0,25,non_hispanic,male,white,"Azola is a teacher at a small school in rural China. She wants to surprise her students with a new book for the school library. Azola got a notification from Amazon stating that the package containing the book was left at her doorstep. Azola believes the book she ordered has arrived in the package at her doorstep. A gust of wind blows the package off her doorstep, and a neighbor replaces it with a different package containing a hand-knit scarf. Azola does not witness the package swap.",Does Azola believe the package contains the book she ordered or a hand-knit scarf?,"['Azola believes the package contains a hand-knit scarf.', 'Azola believes the package contains the book she ordered. (Correct Answer)']",4,2,2,2.6666666666666665
false_belief,1,ours,false_belief_15,10,62218e8d-8245-4bd5-8a5d-842e70f91c4e,24,hispanic,male,other,"Azola is a teacher at a small school in rural China. She wants to surprise her students with a new book for the school library. Azola got a notification from Amazon stating that the package containing the book was left at her doorstep. Azola believes the book she ordered has arrived in the package at her doorstep. A gust of wind blows the package off her doorstep, and a neighbor replaces it with a different package containing a hand-knit scarf. Azola does not witness the package swap.",Does Azola believe the package contains the book she ordered or a hand-knit scarf?,"['Azola believes the package contains a hand-knit scarf.', 'Azola believes the package contains the book she ordered. (Correct Answer)']",2,1,3,2.0
false_belief,1,ours,false_belief_16,11,07e86885-fb8f-4e27-9c30-a830116920a0,25,non_hispanic,male,white,"Aisha is a beekeeper in a small village near the Sahara Desert. Aisha wants to harvest honey from her beehives to sell at the local market. The beehives appear to be full of honey and ready for harvest. Aisha believes that the beehives are full of honey and ready for harvest. A sudden sandstorm blows through the area, filling the beehives with sand and making the honey difficult to extract. Aisha does not see the sand-filled beehives after the sandstorm.",Does Aisha believe the beehives are full of honey or filled with sand?,"['Aisha believes the beehives are full of honey and ready for harvest. (Correct Answer)', 'Aisha believes the beehives are filled with sand.']",5,4,4,4.333333333333333
false_belief,1,ours,false_belief_16,10,62218e8d-8245-4bd5-8a5d-842e70f91c4e,24,hispanic,male,other,"Aisha is a beekeeper in a small village near the Sahara Desert. Aisha wants to harvest honey from her beehives to sell at the local market. The beehives appear to be full of honey and ready for harvest. Aisha believes that the beehives are full of honey and ready for harvest. A sudden sandstorm blows through the area, filling the beehives with sand and making the honey difficult to extract. Aisha does not see the sand-filled beehives after the sandstorm.",Does Aisha believe the beehives are full of honey or filled with sand?,"['Aisha believes the beehives are full of honey and ready for harvest. (Correct Answer)', 'Aisha believes the beehives are filled with sand.']",3,4,3,3.3333333333333335
